country_code,country_name,year,reading,mathematics,science
AUS,Australia,2012,512,504,521
AUS,Australia,2015,503,494,510
AUS,Australia,2018,503,491,503
AUS,Australia,2022,498,487,507
CAN,Canada,2012,523,518,525
CAN,Canada,2015,527,516,528
CAN,Canada,2018,520,512,518
CAN,Canada,2022,507,497,515
GBR,United Kingdom,2012,499,494,514
GBR,United Kingdom,2015,498,492,509
GBR,United Kingdom,2018,504,502,505
GBR,United Kingdom,2022,494,489,500
NZL,New Zealand,2012,512,500,516
NZL,New Zealand,2015,509,495,513
NZL,New Zealand,2018,506,494,508
NZL,New Zealand,2022,501,479,504
KOR,South Korea,2012,536,554,538
KOR,South Korea,2015,517,524,516
KOR,South Korea,2018,514,526,519
KOR,South Korea,2022,515,527,528
NLD,Netherlands,2012,511,523,522
NLD,Netherlands,2015,503,512,509
NLD,Netherlands,2018,485,519,503
NLD,Netherlands,2022,459,493,488
USA,United States,2012,498,481,497
USA,United States,2015,497,470,496
USA,United States,2018,505,478,502
USA,United States,2022,504,465,499
DEU,Germany,2012,508,514,524
DEU,Germany,2015,509,506,509
DEU,Germany,2018,498,500,503
DEU,Germany,2022,480,475,492
JPN,Japan,2012,538,536,547
JPN,Japan,2015,516,532,538
JPN,Japan,2018,504,527,529
JPN,Japan,2022,516,536,547
